"gene","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"FKBP9",0.31368935337034,-0.279781540671648,-0.431525029390225,-0.016253780985592,0.131390331878942,-0.010214121157732,-0.148180714261705,0.746008691908316,0.175305015312793,0.101277609751457
"AHR",0.344791162279221,-0.297061492947874,-0.301177264443919,0.0728531444742639,0.235356745066177,-0.226490617057845,0.142927943779884,-0.575153575791258,0.365742268481626,0.324299185425933
"TSPAN5",0.333132755495189,-0.267005088004825,-0.400169020254136,-0.0734203830379258,-0.325848272871506,0.290368087073355,0.0902157639101225,-0.226312903287789,-0.463342201429385,-0.433211172498217
"CDCP4",-0.015938542492622,0.437395012615281,-0.377073842581053,0.631525702321149,-0.103997602486994,-0.203376738582989,0.17397760254632,0.059152754283299,-0.334221847652149,0.264145931743515
"KOR",-0.0628969014456285,0.445549819242407,-0.330862004393483,-0.590280209158573,-0.0793893637472456,0.0050477913818197,0.542964401021826,0.064176221941065,0.183021160830772,0.0295824654237428
"MOR",-0.0498230933288688,0.444089472187752,-0.386463889347749,-0.0729726204839937,0.170550799190614,0.15957485776734,-0.687496072697719,-0.219660007450871,0.184663445193609,-0.189918908427139
"DEFB1",-0.398567769488554,-0.232126856006776,-0.188636523060223,-0.00568958743587608,-0.682446055043306,0.198515907416033,-0.171878051444908,-0.048422860097002,0.229057233724661,0.402677921913333
"ERICH3",-0.408273847071914,-0.215332016090067,-0.196897393293926,-0.217862358346654,0.506589520099947,0.258991302103201,-0.00675246752070302,-0.051661348745838,-0.484357984111243,0.373745119016968
"COMT",-0.394064328162434,-0.223625356749406,-0.227652374799063,-0.147330151000056,-0.0484035792463518,-0.77369128474866,-0.105497160952948,-0.00768926207541533,-0.111486256305096,-0.310828178095272
"CYP2C9",-0.429205914949021,-0.157738674638001,-0.189094019130537,0.408967832424976,0.224170632332463,0.303889895749732,0.333209373300132,0.0226034930154987,0.376847600280548,-0.437874979576365
