model,feature_set,Prediction,Truth,n
rf,clinical,0,0,24
rf,clinical,1,0,26
rf,clinical,0,1,7
rf,clinical,1,1,43
rf,clinical_biomarkers,0,0,44
rf,clinical_biomarkers,1,0,6
rf,clinical_biomarkers,0,1,12
rf,clinical_biomarkers,1,1,38
svm_linear,clinical,0,0,35
svm_linear,clinical,1,0,15
svm_linear,clinical,0,1,3
svm_linear,clinical,1,1,47
svm_linear,clinical_biomarkers,0,0,50
svm_linear,clinical_biomarkers,1,0,0
svm_linear,clinical_biomarkers,0,1,19
svm_linear,clinical_biomarkers,1,1,31
svm_rbf,clinical,0,0,38
svm_rbf,clinical,1,0,12
svm_rbf,clinical,0,1,8
svm_rbf,clinical,1,1,42
svm_rbf,clinical_biomarkers,0,0,50
svm_rbf,clinical_biomarkers,1,0,0
svm_rbf,clinical_biomarkers,0,1,50
svm_rbf,clinical_biomarkers,1,1,0
gbm,clinical,0,0,24
gbm,clinical,1,0,26
gbm,clinical,0,1,6
gbm,clinical,1,1,44
gbm,clinical_biomarkers,0,0,50
gbm,clinical_biomarkers,1,0,0
gbm,clinical_biomarkers,0,1,38
gbm,clinical_biomarkers,1,1,12
