model,feature_set,.threshold,specificity,sensitivity
rf,clinical,-Inf,0,1
rf,clinical,0.014728932561299549,0,1
rf,clinical,0.028123887839292882,0.020000000000000018,1
rf,clinical,0.03065922892237424,0.040000000000000036,1
rf,clinical,0.031664115762072405,0.06000000000000005,1
rf,clinical,0.038606621896578174,0.07999999999999996,1
rf,clinical,0.04609777860978241,0.09999999999999998,1
rf,clinical,0.051604290797030515,0.12,1
rf,clinical,0.06543603310733412,0.14,1
rf,clinical,0.07431861907337675,0.16000000000000003,1
rf,clinical,0.0956831260601768,0.18000000000000005,1
rf,clinical,0.11599923911365422,0.19999999999999996,1
rf,clinical,0.13724851289220463,0.19999999999999996,0.98
rf,clinical,0.14016822060600617,0.21999999999999997,0.98
rf,clinical,0.1641405820771564,0.24,0.98
rf,clinical,0.2013765319691381,0.26,0.98
rf,clinical,0.23399109630185244,0.28,0.98
rf,clinical,0.23706275491999668,0.30000000000000004,0.98
rf,clinical,0.24022891766833454,0.30000000000000004,0.96
rf,clinical,0.24699524107815113,0.31999999999999995,0.96
rf,clinical,0.2506083880504024,0.33999999999999997,0.96
rf,clinical,0.2596426184053924,0.36,0.96
rf,clinical,0.27826190808261786,0.38,0.96
rf,clinical,0.3109126278762723,0.4,0.96
rf,clinical,0.3157524951791151,0.42000000000000004,0.96
rf,clinical,0.33158086645364443,0.43999999999999995,0.96
rf,clinical,0.33812671817208034,0.43999999999999995,0.94
rf,clinical,0.35183670173369297,0.43999999999999995,0.92
rf,clinical,0.37307908314920213,0.43999999999999995,0.9
rf,clinical,0.3886907115902899,0.43999999999999995,0.88
rf,clinical,0.3962187669504309,0.45999999999999996,0.88
rf,clinical,0.4765898530400185,0.45999999999999996,0.86
rf,clinical,0.5544497984940339,0.48,0.86
rf,clinical,0.5632081625761041,0.5,0.86
rf,clinical,0.5682444698401428,0.52,0.86
rf,clinical,0.588401954175379,0.54,0.86
rf,clinical,0.5963857558307523,0.54,0.84
rf,clinical,0.6098290712529967,0.54,0.82
rf,clinical,0.6286083129307248,0.54,0.8
rf,clinical,0.6312001702999178,0.54,0.78
rf,clinical,0.6319639262265027,0.54,0.76
rf,clinical,0.6502712222594503,0.54,0.74
rf,clinical,0.713907821345581,0.56,0.74
rf,clinical,0.8502342968360247,0.56,0.72
rf,clinical,0.8587906083325331,0.5800000000000001,0.72
rf,clinical,0.8912106887810304,0.6,0.72
rf,clinical,0.8941714447944481,0.62,0.72
rf,clinical,0.8979696754561133,0.62,0.7
rf,clinical,0.9024748355862056,0.64,0.7
rf,clinical,0.9196121609989026,0.6599999999999999,0.7
rf,clinical,0.9208668338712205,0.6799999999999999,0.7
rf,clinical,0.9213322688521584,0.7,0.7
rf,clinical,0.9326286799725294,0.72,0.7
rf,clinical,0.9382428816582112,0.74,0.7
rf,clinical,0.9386598252977181,0.76,0.7
rf,clinical,0.9435305580365543,0.78,0.7
rf,clinical,0.94862148405724,0.8,0.7
rf,clinical,0.9575623825599868,0.8,0.68
rf,clinical,0.9578616555102392,0.8200000000000001,0.68
rf,clinical,0.9590941551815577,0.84,0.68
rf,clinical,0.9611221649072692,0.84,0.66
rf,clinical,0.9656576513341931,0.86,0.66
rf,clinical,0.9667732026740263,0.86,0.64
rf,clinical,0.966900711851654,0.86,0.62
rf,clinical,0.9821886654100147,0.88,0.62
rf,clinical,0.98402826845179725,0.9,0.62
rf,clinical,0.992084567454652,0.9,0.6
rf,clinical,0.992613223416853,0.9,0.58
rf,clinical,0.9926867196574544,0.9,0.56
rf,clinical,0.9927815371516215,0.92,0.56
rf,clinical,0.9934278048804588,0.94,0.56
rf,clinical,0.9936172864513416,0.94,0.54
rf,clinical,0.9938619293084845,0.94,0.52
rf,clinical,0.9939981225528046,0.96,0.48
rf,clinical,0.9946064017735838,0.96,0.46
rf,clinical,0.9948798346564904,0.98,0.44
rf,clinical,0.9949580597647155,0.98,0.42
rf,clinical,0.9951284255831077,0.98,0.4
rf,clinical,0.9953730684402504,0.98,0.38
rf,clinical,0.9966418970968202,0.98,0.34
rf,clinical,0.9970093240823503,0.98,0.28
rf,clinical,0.9977117244186211,0.98,0.26
