model,feature_set,Variable,Importance
rf,clinical,MDD_severity,100
rf,clinical,seasonalDepression,26.031607406686735
rf,clinical,socioEconomicStatus,9.169950225762276
rf,clinical,maritalStatus,2.3506194015738195
rf,clinical,age,0.1453858338239724
rf,clinical,numChildren,0.0992189467525852
rf,clinical,smokingStatus,-0.05641997696510117
rf,clinical_biomarkers,plasmaSerotonin,100
rf,clinical_biomarkers,TSPAN5,84.6584622242894
rf,clinical_biomarkers,COMT,48.94407316907051
rf,clinical_biomarkers,SLC6A4,48.498676431257856
rf,clinical_biomarkers,AHR,46.380559159269566
rf,clinical_biomarkers,ERICH3,39.717838622261986
rf,clinical_biomarkers,MDD_severity,34.12474294783092
rf,clinical_biomarkers,DEFB1,22.743848497991106
rf,clinical_biomarkers,seasonalDepression,2.475100855047529
rf,clinical_biomarkers,socioEconomicStatus,1.8275169955916277
rf,clinical_biomarkers,CYP2D6,0.08385545426821296
rf,clinical_biomarkers,smokingStatus,0.03810669271647054
rf,clinical_biomarkers,maritalStatus,0.02842576918514185
rf,clinical_biomarkers,numChildren,0.0018440325282597441
rf,clinical_biomarkers,CYP2C19,-0.04267006338546733
rf,clinical_biomarkers,age,-0.0589213900705904
svm_linear,clinical,MDD_severity,100
svm_linear,clinical,seasonalDepression,61.12531969309462
svm_linear,clinical,socioEconomicStatus,29.923273657288984
svm_linear,clinical,maritalStatus,4.092071611253173
svm_linear,clinical,numChildren,3.3248081841431896
svm_linear,clinical,age,0
svm_linear,clinical,smokingStatus,-2.0460358056266377
svm_linear,clinical_biomarkers,COMT,100
svm_linear,clinical_biomarkers,plasmaSerotonin,96.33027522935778
svm_linear,clinical_biomarkers,TSPAN5,82.5688073394495
svm_linear,clinical_biomarkers,seasonalDepression,28.44036697247717
svm_linear,clinical_biomarkers,ERICH3,24.77064220183501
svm_linear,clinical_biomarkers,AHR,17.431192660550572
svm_linear,clinical_biomarkers,SLC6A4,14.678899082568947
svm_linear,clinical_biomarkers,CYP2C19,13.761467889908408
svm_linear,clinical_biomarkers,age,11.926605504587295
svm_linear,clinical_biomarkers,socioEconomicStatus,11.926605504587295
svm_linear,clinical_biomarkers,numChildren,10.091743119266186
svm_linear,clinical_biomarkers,MDD_severity,6.422018348623934
svm_linear,clinical_biomarkers,maritalStatus,5.504587155963423
svm_linear,clinical_biomarkers,smokingStatus,4.587155963302854
svm_linear,clinical_biomarkers,DEFB1,2.7522935779817117
svm_linear,clinical_biomarkers,CYP2D6,0.9174311926605706
svm_rbf,clinical,MDD_severity,100
svm_rbf,clinical,seasonalDepression,77.79816513761467
svm_rbf,clinical,socioEconomicStatus,63.6697247706422
svm_rbf,clinical,age,57.24770642201836
svm_rbf,clinical,smokingStatus,50.458715596330286
svm_rbf,clinical,maritalStatus,50.45871559633027
svm_rbf,clinical,numChildren,34.49541284403669
svm_rbf,clinical_biomarkers,COMT,100
svm_rbf,clinical_biomarkers,MDD_severity,75.99999999999967
svm_rbf,clinical_biomarkers,ERICH3,71.9999999999997
svm_rbf,clinical_biomarkers,plasmaSerotonin,67.99999999999959
svm_rbf,clinical_biomarkers,AHR,59.999999999999666
svm_rbf,clinical_biomarkers,TSPAN5,55.999999999999815
svm_rbf,clinical_biomarkers,SLC6A4,51.99999999999972
svm_rbf,clinical_biomarkers,seasonalDepression,31.999999999999744
svm_rbf,clinical_biomarkers,socioEconomicStatus,31.999999999999744
svm_rbf,clinical_biomarkers,age,0
svm_rbf,clinical_biomarkers,maritalStatus,0
svm_rbf,clinical_biomarkers,CYP2C19,0
svm_rbf,clinical_biomarkers,DEFB1,0
svm_rbf,clinical_biomarkers,CYP2D6,0
svm_rbf,clinical_biomarkers,smokingStatus,-12.000000000000172
svm_rbf,clinical_biomarkers,numChildren,-16.000000000000405
gbm,clinical,MDD_severity,100
gbm,clinical,age,45.506846721700406
gbm,clinical,seasonalDepression,26.597101849106352
gbm,clinical,socioEconomicStatus,18.02178265162765
gbm,clinical,maritalStatus,12.431293104250342
gbm,clinical,smokingStatus,11.580406252439769
gbm,clinical,numChildren,10.47325023391432
gbm,clinical_biomarkers,plasmaSerotonin,100
gbm,clinical_biomarkers,TSPAN5,95.09223758408656
gbm,clinical_biomarkers,COMT,38.79737570806933
gbm,clinical_biomarkers,AHR,21.377792770468677
gbm,clinical_biomarkers,SLC6A4,16.96719608527428
gbm,clinical_biomarkers,MDD_severity,14.077831321205322
gbm,clinical_biomarkers,ERICH3,13.11748821699324
gbm,clinical_biomarkers,seasonalDepression,5.140426336885897
gbm,clinical_biomarkers,socioEconomicStatus,4.766431570915295
gbm,clinical_biomarkers,DEFB1,2.953152380916336
gbm,clinical_biomarkers,numChildren,1.3797857094291675
gbm,clinical_biomarkers,age,1.2545617984376791
gbm,clinical_biomarkers,CYP2D6,0.7458979918027562
gbm,clinical_biomarkers,CYP2C19,0.6893851167464506
gbm,clinical_biomarkers,smokingStatus,0.20690473931458706
gbm,clinical_biomarkers,maritalStatus,0.16735875740222614
