model,feature_set,Prediction,Truth,n
rf,clinical,0,0,7
rf,clinical,1,0,43
rf,clinical,0,1,4
rf,clinical,1,1,46
rf,clinical_biomarkers,0,0,50
rf,clinical_biomarkers,1,0,0
rf,clinical_biomarkers,0,1,18
rf,clinical_biomarkers,1,1,32
svm_linear,clinical,0,0,25
svm_linear,clinical,1,0,25
svm_linear,clinical,0,1,3
svm_linear,clinical,1,1,47
svm_linear,clinical_biomarkers,0,0,50
svm_linear,clinical_biomarkers,1,0,0
svm_linear,clinical_biomarkers,0,1,24
svm_linear,clinical_biomarkers,1,1,26
svm_rbf,clinical,0,0,50
svm_rbf,clinical,1,0,0
svm_rbf,clinical,0,1,50
svm_rbf,clinical,1,1,0
svm_rbf,clinical_biomarkers,0,0,50
svm_rbf,clinical_biomarkers,1,0,0
svm_rbf,clinical_biomarkers,0,1,50
svm_rbf,clinical_biomarkers,1,1,0
gbm,clinical,0,0,10
gbm,clinical,1,0,40
gbm,clinical,0,1,4
gbm,clinical,1,1,46
gbm,clinical_biomarkers,0,0,50
gbm,clinical_biomarkers,1,0,0
gbm,clinical_biomarkers,0,1,37
gbm,clinical_biomarkers,1,1,13
