feature_set,component,eigenvalue,variance.percent,cumulative.variance.percent
clinical,Dim.1,2.6905970343317143,14.16103702279849,14.16103702279849
clinical,Dim.2,1.6263302188109336,8.559632730583859,22.72066975338235
clinical,Dim.3,1.358236892335925,7.148615222820656,29.869284976203005
clinical,Dim.4,1.2687329356738206,6.6775417667043175,36.54682674290732
clinical,Dim.5,1.2077391459369164,6.3565218207206104,42.90334856362793
clinical,Dim.6,1.1278417167368284,5.93600903545699,48.83935759908492
clinical,Dim.7,1.0273618567122245,5.407167666906442,54.246525265991366
clinical,Dim.8,0.9905283979969088,5.213307357878466,59.45983262386983
clinical,Dim.9,0.9276191163346008,4.8822058754452655,64.3420384993151
clinical,Dim.10,0.8800900607668958,4.632052951404714,68.97409145071981
clinical,Dim.11,0.8058731417271673,4.241437588037721,73.21552903875754
clinical,Dim.12,0.7748105668543052,4.077950351864763,77.2934793906223
clinical,Dim.13,0.7463382873804169,3.928096249370614,81.2215756399929
clinical,Dim.14,0.7199949019311858,3.789446852269398,85.0110224922623
clinical,Dim.15,0.6721174147845385,3.537460077813359,88.54848257007566
clinical,Dim.16,0.5877887965019211,3.093625244746952,91.64210781482262
clinical,Dim.17,0.5469238060629922,2.878546347699958,94.52065416252258
clinical,Dim.18,0.5414246856970935,2.8496036089320698,97.37025777145465
clinical,Dim.19,0.49965102342361767,2.6297422285453553,100
clinical_biomarkers,Dim.1,3.9611652074718338,14.147018598113696,14.147018598113696
clinical_biomarkers,Dim.2,2.3136928742286926,8.263188836531048,22.410207434644747
clinical_biomarkers,Dim.3,1.6488012442291697,5.888575872247036,28.29878330689178
clinical_biomarkers,Dim.4,1.373602188585335,4.905722102090483,33.204505408982264
clinical_biomarkers,Dim.5,1.2983770955544223,4.63706105555151,37.84156646453377
clinical_biomarkers,Dim.6,1.1872335841835242,4.240119943512588,42.08168640804636
clinical_biomarkers,Dim.7,1.1428134368208298,4.081476560074393,46.16316296812076
clinical_biomarkers,Dim.8,1.1312758880467018,4.040271028738221,50.203433996858976
clinical_biomarkers,Dim.9,1.0706085865681305,3.823602094886182,54.02703609174516
clinical_biomarkers,Dim.10,1.031720438258774,3.6847158509241935,57.71175194266935
clinical_biomarkers,Dim.11,0.9975964768314579,3.56284456011235,61.274596502781705
clinical_biomarkers,Dim.12,0.8847833129840746,3.159940403514553,64.43453690629626
clinical_biomarkers,Dim.13,0.88012323895048294,3.143297281966011,67.57783418826227
clinical_biomarkers,Dim.14,0.8218259910314634,2.93509282511237,70.51292701337464
clinical_biomarkers,Dim.15,0.7883412769974054,2.8155045607050204,73.32843157407966
clinical_biomarkers,Dim.16,0.7480497038262633,2.671606085093799,76.00003765917346
clinical_biomarkers,Dim.17,0.7251064848942322,2.5896660174794017,78.58970367665286
clinical_biomarkers,Dim.18,0.7087253882178444,2.5311621007780167,81.12086577743088
clinical_biomarkers,Dim.19,0.6864940631369801,2.451764511203501,83.57263028863437
clinical_biomarkers,Dim.20,0.6521580311465929,2.3291358255235464,85.90176611415792
clinical_biomarkers,Dim.21,0.5629498328877605,2.0105351174562878,87.91230123161421
clinical_biomarkers,Dim.22,0.5503432801403845,1.9655117147870882,89.87781294640129
clinical_biomarkers,Dim.23,0.533361294509175,1.9048617661041969,91.7826747125055
clinical_biomarkers,Dim.24,0.5237444841815561,1.8705160149341296,93.65319072743962
clinical_biomarkers,Dim.25,0.49812774370467255,1.7790276560881166,95.43221838352774
clinical_biomarkers,Dim.26,0.455942330078746,1.6283654645669505,97.0605838480947
clinical_biomarkers,Dim.27,0.44188455540120253,1.5781591264328667,98.63874297452756
clinical_biomarkers,Dim.28,0.38115196713228283,1.361257025472439,100
