model,feature_set,.threshold,specificity,sensitivity
rf,clinical,-Inf,0,1
rf,clinical,0.03634311005827012,0,1
rf,clinical,0.10205071635867131,0.020000000000000018,1
rf,clinical,0.16254209683130436,0.040000000000000036,1
rf,clinical,0.23992009652838472,0.040000000000000036,0.98
rf,clinical,0.24553506996584193,0.040000000000000036,0.96
rf,clinical,0.2674294628521638,0.06000000000000005,0.96
rf,clinical,0.27341051714142783,0.07999999999999996,0.96
rf,clinical,0.3013028154394556,0.09999999999999998,0.96
rf,clinical,0.3374227018142144,0.09999999999999998,0.94
rf,clinical,0.40295928211141746,0.12,0.94
rf,clinical,0.4369025550099366,0.12,0.92
rf,clinical,0.5734413219081657,0.14,0.92
rf,clinical,0.6321205047466725,0.14,0.9
rf,clinical,0.6719113723212229,0.14,0.88
rf,clinical,0.8594746010576357,0.14,0.86
rf,clinical,0.8636765510706554,0.16000000000000003,0.86
rf,clinical,0.8924078024044889,0.18000000000000005,0.86
rf,clinical,0.8965823928924321,0.19999999999999996,0.86
rf,clinical,0.9020776198301766,0.21999999999999997,0.86
rf,clinical,0.9188170372112305,0.24,0.86
rf,clinical,0.937186886935808,0.26,0.86
rf,clinical,0.9385001618809592,0.28,0.86
rf,clinical,0.941219489786308,0.30000000000000004,0.86
rf,clinical,0.9416874367416183,0.31999999999999995,0.86
rf,clinical,0.9419457912873673,0.33999999999999997,0.86
rf,clinical,0.9421740490975207,0.36,0.86
rf,clinical,0.9428048765480743,0.38,0.86
rf,clinical,0.9428145983047109,0.4,0.86
rf,clinical,0.9437629917299717,0.42000000000000004,0.86
rf,clinical,0.9441311034977266,0.43999999999999995,0.86
rf,clinical,0.9444642917447551,0.43999999999999995,0.84
rf,clinical,0.9445081163199597,0.45999999999999996,0.84
rf,clinical,0.9446876245513982,0.45999999999999996,0.82
rf,clinical,0.9454634022511313,0.48,0.82
rf,clinical,0.945725632152132,0.5,0.82
rf,clinical,0.9457995563963899,0.52,0.82
rf,clinical,0.9467036706051989,0.54,0.82
rf,clinical,0.9539049167326524,0.54,0.8
rf,clinical,0.9557478007299592,0.56,0.8
rf,clinical,0.9620777701636474,0.56,0.78
rf,clinical,0.9635524655097304,0.5800000000000001,0.78
rf,clinical,0.9636876926421325,0.6,0.78
rf,clinical,0.9642199362224748,0.62,0.78
rf,clinical,0.9649726940732926,0.64,0.78
rf,clinical,0.9651916579489229,0.6599999999999999,0.78
rf,clinical,0.965658428285967,0.6799999999999999,0.78
rf,clinical,0.9661813552615257,0.7,0.78
rf,clinical,0.9670760991613052,0.7,0.76
rf,clinical,0.9683283689411379,0.7,0.74
rf,clinical,0.9690269580045554,0.72,0.74
rf,clinical,0.9691158250558638,0.74,0.74
rf,clinical,0.9701502162264811,0.76,0.74
rf,clinical,0.9815842484997518,0.78,0.74
rf,clinical,0.9819141052774849,0.78,0.72
rf,clinical,0.9820321594099976,0.8,0.72
rf,clinical,0.9827361935364258,0.8,0.7
rf,clinical,0.9831270689760276,0.8,0.68
rf,clinical,0.983920221788875,0.8,0.66
rf,clinical,0.984350513373772,0.8,0.64
rf,clinical,0.9844813275242927,0.8,0.62
rf,clinical,0.9846650613431338,0.8,0.6
rf,clinical,0.984954902895512,0.8200000000000001,0.6
rf,clinical,0.9849982881669413,0.8200000000000001,0.58
rf,clinical,0.9851774749669984,0.8200000000000001,0.56
rf,clinical,0.9853847659439953,0.8200000000000001,0.54
rf,clinical,0.9864298088547057,0.8200000000000001,0.52
rf,clinical,0.9867557646928133,0.84,0.52
rf,clinical,0.9868920777777896,0.86,0.52
rf,clinical,0.9870782767052116,0.86,0.5
rf,clinical,0.9875945302431368,0.86,0.48
rf,clinical,0.9884698485006583,0.86,0.46
rf,clinical,0.9889416232335925,0.88,0.46
rf,clinical,0.9889728516957235,0.88,0.44
rf,clinical,0.9894559761220834,0.9,0.44
rf,clinical,0.989733995692344,0.9,0.42
rf,clinical,0.9897819231892652,0.9,0.4
rf,clinical,0.9900716721541959,0.92,0.4
rf,clinical,0.9900855852306982,0.92,0.38
rf,clinical,0.9901514947226947,0.92,0.36
rf,clinical,0.9902712597026063,0.92,0.34
rf,clinical,0.9904346491610166,0.92,0.32
rf,clinical,0.9907213226682889,0.94,0.32
rf,clinical,0.9908234142271379,0.94,0.3
rf,clinical,0.9908965744679522,0.94,0.28
rf,clinical,0.9916746715393773,0.96,0.28
rf,clinical,0.9918176594472884,0.96,0.26
rf,clinical,0.9921162293993674,0.96,0.24
rf,clinical,0.9923488803225757,0.96,0.22
rf,clinical,0.9924152675530235,0.96,0.2
rf,clinical,0.9925659804568322,0.96,0.18
rf,clinical,0.9927128645599512,0.96,0.16
rf,clinical,0.9952453945693109,0.96,0.14
rf,clinical,0.9955961521450682,0.96,0.12
rf,clinical,0.9962336100472791,0.96,0.1
rf,clinical,0.9964150699430652,0.98,0.1
rf,clinical,0.9964340013134441,0.98,0.08
rf,clinical,0.996520732196525,0.98,0.06
rf,clinical,0.996763337153043,0.98,0.04
rf,clinical,0.9969349303445205,1,0.04
rf,clinical,0.999447108517225,1,0.02
rf,clinical,Inf,1,0
rf,clinical_biomarkers,-Inf,0,1
rf,clinical_biomarkers,0.14730345590861843,0,1
rf,clinical_biomarkers,0.1937449705549294,0.020000000000000018,1
rf,clinical_biomarkers,0.22344176826282994,0.040000000000000036,1
rf,clinical_biomarkers,0.2300178838477126,0.06000000000000005,1
rf,clinical_biomarkers,0.27456777600829824,0.07999999999999996,1
rf,clinical_biomarkers,0.28944342400328094,0.09999999999999998,1
rf,clinical_biomarkers,0.29952930141934536,0.12,1
rf,clinical_biomarkers,0.3044938870811516,0.14,1
rf,clinical_biomarkers,0.30691649720391834,0.16000000000000003,1
rf,clinical_biomarkers,0.31480730928947004,0.18000000000000005,1
rf,clinical_biomarkers,0.3169950189981166,0.19999999999999996,1
rf,clinical_biomarkers,0.3201352915780865,0.21999999999999997,1
rf,clinical_biomarkers,0.32416239993182755,0.24,1
rf,clinical_biomarkers,0.32461815349078715,0.26,1
rf,clinical_biomarkers,0.32993713166517863,0.28,1
rf,clinical_biomarkers,0.3335928538361679,0.30000000000000004,1
rf,clinical_biomarkers,0.3396259817410114,0.31999999999999995,1
rf,clinical_biomarkers,0.3421249466804184,0.31999999999999995,0.98
rf,clinical_biomarkers,0.3433543513265645,0.33999999999999997,0.98
rf,clinical_biomarkers,0.3443297494297122,0.33999999999999997,0.96
rf,clinical_biomarkers,0.34590354552387875,0.36,0.96
rf,clinical_biomarkers,0.3467854471200427,0.38,0.96
rf,clinical_biomarkers,0.3484461133072996,0.4,0.96
rf,clinical_biomarkers,0.34954503207756904,0.42000000000000004,0.96
rf,clinical_biomarkers,0.3500350345610905,0.43999999999999995,0.96
rf,clinical_biomarkers,0.3575735570829933,0.45999999999999996,0.96
rf,clinical_biomarkers,0.35820954307293557,0.45999999999999996,0.94
rf,clinical_biomarkers,0.35946031474845924,0.48,0.94
rf,clinical_biomarkers,0.3639633303421703,0.5,0.94
rf,clinical_biomarkers,0.3646656527094981,0.52,0.94
rf,clinical_biomarkers,0.36940464945992313,0.54,0.94
rf,clinical_biomarkers,0.3721955275158255,0.56,0.94
rf,clinical_biomarkers,0.37284173259873427,0.5800000000000001,0.94
rf,clinical_biomarkers,0.3736989458907281,0.6,0.94
rf,clinical_biomarkers,0.37449978080803487,0.62,0.94
rf,clinical_biomarkers,0.3757220693179383,0.64,0.94
rf,clinical_biomarkers,0.3796470169720463,0.6599999999999999,0.94
rf,clinical_biomarkers,0.38298725453880506,0.6799999999999999,0.94
rf,clinical_biomarkers,0.38681543120064854,0.7,0.94
rf,clinical_biomarkers,0.3956902879881097,0.72,0.94
rf,clinical_biomarkers,0.39639981313483186,0.72,0.92
rf,clinical_biomarkers,0.39747858812417397,0.74,0.92
rf,clinical_biomarkers,0.3993754883443793,0.76,0.92
rf,clinical_biomarkers,0.407344851225547,0.78,0.92
rf,clinical_biomarkers,0.41121096561306975,0.8,0.92
rf,clinical_biomarkers,0.4115334664444934,0.8200000000000001,0.92
rf,clinical_biomarkers,0.41686425959795514,0.84,0.92
rf,clinical_biomarkers,0.4198396309737458,0.86,0.92
rf,clinical_biomarkers,0.42819241927906065,0.88,0.92
rf,clinical_biomarkers,0.4290604396102598,0.88,0.9
rf,clinical_biomarkers,0.43276785728716083,0.9,0.9
rf,clinical_biomarkers,0.43441359714151795,0.9,0.88
rf,clinical_biomarkers,0.43948921119797973,0.9,0.86
rf,clinical_biomarkers,0.44020274184118996,0.92,0.86
rf,clinical_biomarkers,0.44519567699509943,0.94,0.86
rf,clinical_biomarkers,0.4456369421575752,0.96,0.86
rf,clinical_biomarkers,0.45328172996136257,0.96,0.84
rf,clinical_biomarkers,0.4549225353097373,0.96,0.82
rf,clinical_biomarkers,0.4624125886263243,0.96,0.8
rf,clinical_biomarkers,0.4633849242394962,0.96,0.78
rf,clinical_biomarkers,0.4722856441585092,0.98,0.78
rf,clinical_biomarkers,0.48625337880788744,1,0.78
rf,clinical_biomarkers,0.4883515304725896,1,0.76
rf,clinical_biomarkers,0.4928682858460387,1,0.74
rf,clinical_biomarkers,0.4945996105596909,1,0.72
rf,clinical_biomarkers,0.4957855524083725,1,0.7
rf,clinical_biomarkers,0.4959206305959375,1,0.68
rf,clinical_biomarkers,0.49906821703104776,1,0.66
rf,clinical_biomarkers,0.5072091853145158,1,0.64
