model,feature_set,Variable,Importance
rf,clinical,MDD_severity,100
rf,clinical,seasonalDepression,26.12523717353757
rf,clinical,socioEconomicStatus,6.661491782206534
rf,clinical,QIDS1.baseline,2.5589059144361705
rf,clinical,maritalStatus,1.2248624357542977
rf,clinical,QIDS10.baseline,0.1585576712220493
rf,clinical,QIDS3.baseline,0.12476107906392236
rf,clinical,numChildren,0.01486195359881149
rf,clinical,QIDS13.baseline,-0.05346244909213921
rf,clinical,QIDS16.baseline,-0.06508900799895684
rf,clinical,QIDS15.baseline,-0.08463482392447622
rf,clinical,QIDS12.baseline,-0.12101515073242736
rf,clinical,QIDS14.baseline,-0.13591993468024904
rf,clinical,QIDS5.baseline,-0.15830306314909234
rf,clinical,QIDS4.baseline,-0.18154402900231345
rf,clinical,QIDS2.baseline,-0.2249127443421932
rf,clinical,smokingStatus,-0.34175998286130616
rf,clinical,age,-0.44378201550774254
rf,clinical,QIDS11.baseline,-0.45892472123490746
rf,clinical_biomarkers,plasmaSerotonin,100
rf,clinical_biomarkers,TSPAN5,82.36625095055034
rf,clinical_biomarkers,COMT,64.67150347159712
rf,clinical_biomarkers,ERICH3,55.51221609775221
rf,clinical_biomarkers,AHR,53.48551519003251
rf,clinical_biomarkers,MDD_severity,52.216883769079345
rf,clinical_biomarkers,SLC6A4,50.93116049021421
rf,clinical_biomarkers,DEFB1,35.7307099170782
rf,clinical_biomarkers,seasonalDepression,22.851177491493186
rf,clinical_biomarkers,socioEconomicStatus,19.750225818080104
rf,clinical_biomarkers,QIDS10.baseline,4.034325940113133
rf,clinical_biomarkers,smokingStatus,3.0268026864239133
rf,clinical_biomarkers,QIDS15.baseline,2.9304722700250805
rf,clinical_biomarkers,QIDS1.baseline,2.886062383739889
rf,clinical_biomarkers,QIDS13.baseline,1.5966379576709802
rf,clinical_biomarkers,QIDS16.baseline,1.5747401738672662
rf,clinical_biomarkers,numChildren,1.095788137248734
rf,clinical_biomarkers,QIDS14.baseline,0.9415402656540222
rf,clinical_biomarkers,age,0.7544518158818894
rf,clinical_biomarkers,maritalStatus,0.4161050579205543
rf,clinical_biomarkers,QIDS11.baseline,0.1866815836757396
rf,clinical_biomarkers,QIDS5.baseline,0.07724374730895703
rf,clinical_biomarkers,CYP2D6,-0.11576073918317116
rf,clinical_biomarkers,QIDS3.baseline,-0.18932343570648105
rf,clinical_biomarkers,QIDS2.baseline,-0.4422278520334822
rf,clinical_biomarkers,QIDS4.baseline,-1.134285625434279
rf,clinical_biomarkers,CYP2C19,-1.2437594622604429
rf,clinical_biomarkers,QIDS12.baseline,-1.4946357144433475
svm_linear,clinical,MDD_severity,100
svm_linear,clinical,seasonalDepression,67.70601336302896
svm_linear,clinical,socioEconomicStatus,42.31625835189311
svm_linear,clinical,QIDS10.baseline,18.70824053452117
svm_linear,clinical,maritalStatus,17.14922048997775
svm_linear,clinical,numChildren,8.908685968819633
svm_linear,clinical,QIDS16.baseline,5.567928730512281
svm_linear,clinical,QIDS11.baseline,5.1224944320713055
svm_linear,clinical,QIDS4.baseline,4.23162583518934
svm_linear,clinical,QIDS5.baseline,4.23162583518934
svm_linear,clinical,smokingStatus,0.6681514476615001
svm_linear,clinical,age,0
svm_linear,clinical,QIDS12.baseline,0
svm_linear,clinical,QIDS13.baseline,-0.4454342984409605
svm_linear,clinical,QIDS14.baseline,-0.6681514476614481
svm_linear,clinical,QIDS3.baseline,-0.8908685968819358
svm_linear,clinical,QIDS15.baseline,-0.8908685968819432
svm_linear,clinical,QIDS2.baseline,-1.781737193763901
svm_linear,clinical,QIDS1.baseline,-2.0044543429843813
svm_linear,clinical_biomarkers,COMT,100
svm_linear,clinical_biomarkers,TSPAN5,60.34482758620688
svm_linear,clinical_biomarkers,plasmaSerotonin,49.137931034482754
svm_linear,clinical_biomarkers,SLC6A4,30.17241379310346
svm_linear,clinical_biomarkers,ERICH3,26.72413793103453
svm_linear,clinical_biomarkers,seasonalDepression,16.379310344827566
svm_linear,clinical_biomarkers,MDD_severity,16.379310344827566
svm_linear,clinical_biomarkers,AHR,5.172413793103424
svm_linear,clinical_biomarkers,age,0.8620689655172327
svm_linear,clinical_biomarkers,maritalStatus,0
svm_linear,clinical_biomarkers,smokingStatus,0
svm_linear,clinical_biomarkers,numChildren,0
svm_linear,clinical_biomarkers,socioEconomicStatus,0
svm_linear,clinical_biomarkers,CYP2C19,0
svm_linear,clinical_biomarkers,DEFB1,0
svm_linear,clinical_biomarkers,CYP2D6,0
svm_linear,clinical_biomarkers,QIDS1.baseline,0
svm_linear,clinical_biomarkers,QIDS2.baseline,0
svm_linear,clinical_biomarkers,QIDS3.baseline,0
svm_linear,clinical_biomarkers,QIDS4.baseline,0
svm_linear,clinical_biomarkers,QIDS5.baseline,0
svm_linear,clinical_biomarkers,QIDS10.baseline,0
svm_linear,clinical_biomarkers,QIDS11.baseline,0
svm_linear,clinical_biomarkers,QIDS12.baseline,0
svm_linear,clinical_biomarkers,QIDS13.baseline,0
svm_linear,clinical_biomarkers,QIDS14.baseline,0
svm_linear,clinical_biomarkers,QIDS15.baseline,0
svm_linear,clinical_biomarkers,QIDS16.baseline,0
svm_rbf,clinical,age,0
svm_rbf,clinical,maritalStatus,0
svm_rbf,clinical,smokingStatus,0
svm_rbf,clinical,numChildren,0
svm_rbf,clinical,seasonalDepression,0
svm_rbf,clinical,socioEconomicStatus,0
svm_rbf,clinical,MDD_severity,0
svm_rbf,clinical,QIDS1.baseline,0
svm_rbf,clinical,QIDS2.baseline,0
svm_rbf,clinical,QIDS3.baseline,0
svm_rbf,clinical,QIDS4.baseline,0
svm_rbf,clinical,QIDS5.baseline,0
svm_rbf,clinical,QIDS10.baseline,0
svm_rbf,clinical,QIDS11.baseline,0
svm_rbf,clinical,QIDS12.baseline,0
svm_rbf,clinical,QIDS13.baseline,0
